A,f,misfit
1.000000000000000000e+00,8.000000000000000444e-01,4.121007775760405778e-01
1.000000000000000000e+00,8.350000000000000755e-01,4.118139190307743003e-01
1.000000000000000000e+00,8.700000000000001066e-01,4.110182242335148062e-01
1.000000000000000000e+00,9.050000000000000266e-01,4.104329085305853941e-01
1.000000000000000000e+00,9.400000000000000577e-01,4.096166115921781592e-01
1.000000000000000000e+00,9.750000000000000888e-01,4.080737218108189679e-01
1.000000000000000000e+00,1.010000000000000009e+00,4.060973347712801829e-01
1.000000000000000000e+00,1.045000000000000151e+00,4.033472191882915281e-01
1.000000000000000000e+00,1.080000000000000071e+00,4.008653770438495578e-01
1.000000000000000000e+00,1.115000000000000213e+00,3.988542488140187636e-01
1.000000000000000000e+00,1.150000000000000133e+00,3.952261017132921439e-01
1.000000000000000000e+00,1.185000000000000053e+00,3.904598500938138428e-01
1.000000000000000000e+00,1.220000000000000195e+00,3.843127515650441861e-01
1.000000000000000000e+00,1.255000000000000115e+00,3.742589953175690654e-01
1.000000000000000000e+00,1.290000000000000036e+00,3.608765770626211067e-01
1.000000000000000000e+00,1.325000000000000178e+00,3.417890922496238382e-01
1.000000000000000000e+00,1.360000000000000098e+00,3.115059603961732315e-01
1.000000000000000000e+00,1.395000000000000018e+00,2.672837750201337847e-01
1.000000000000000000e+00,1.430000000000000160e+00,2.013543994910479973e-01
1.000000000000000000e+00,1.465000000000000080e+00,1.229971535819507911e-01
1.000000000000000000e+00,1.500000000000000000e+00,8.520510460983579670e-02
1.000000000000000000e+00,1.535000000000000142e+00,1.240815523001714688e-01
1.000000000000000000e+00,1.570000000000000062e+00,2.021612647689344788e-01
1.000000000000000000e+00,1.604999999999999982e+00,2.677741453211635037e-01
1.000000000000000000e+00,1.640000000000000124e+00,3.116501368297650565e-01
1.000000000000000000e+00,1.675000000000000266e+00,3.409230464982531683e-01
1.000000000000000000e+00,1.710000000000000187e+00,3.595165544223965504e-01
1.000000000000000000e+00,1.745000000000000107e+00,3.730921321490515696e-01
1.000000000000000000e+00,1.780000000000000249e+00,3.832270903489064517e-01
1.000000000000000000e+00,1.815000000000000169e+00,3.894728136045315092e-01
1.000000000000000000e+00,1.850000000000000089e+00,3.942199846504066962e-01
1.000000000000000000e+00,1.885000000000000231e+00,3.976880021765614170e-01
1.000000000000000000e+00,1.920000000000000151e+00,3.996744001970537474e-01
1.000000000000000000e+00,1.955000000000000071e+00,4.015504141348583689e-01
1.000000000000000000e+00,1.990000000000000213e+00,4.032251688038712700e-01
1.000000000000000000e+00,2.025000000000000355e+00,4.051024482410602867e-01
1.000000000000000000e+00,2.060000000000000497e+00,4.074336941983197624e-01
1.000000000000000000e+00,2.095000000000000195e+00,4.087619596564118774e-01
1.000000000000000000e+00,2.129999999999999893e+00,4.095612479667547490e-01
1.000000000000000000e+00,2.165000000000000036e+00,4.106562063635325055e-01
1.000000000000000000e+00,2.200000000000000178e+00,4.112446064009167013e-01
1.050000000000000044e+00,8.000000000000000444e-01,4.203534485787742692e-01
1.050000000000000044e+00,8.350000000000000755e-01,4.200540960944884605e-01
1.050000000000000044e+00,8.700000000000001066e-01,4.192188022696327621e-01
1.050000000000000044e+00,9.050000000000000266e-01,4.186052250123807328e-01
1.050000000000000044e+00,9.400000000000000577e-01,4.177498541517210562e-01
1.050000000000000044e+00,9.750000000000000888e-01,4.161300976064902235e-01
1.050000000000000044e+00,1.010000000000000009e+00,4.140551072593589566e-01
1.050000000000000044e+00,1.045000000000000151e+00,4.111688962617079390e-01
1.050000000000000044e+00,1.080000000000000071e+00,4.085635493095669535e-01
1.050000000000000044e+00,1.115000000000000213e+00,4.064516650446837187e-01
1.050000000000000044e+00,1.150000000000000133e+00,4.026430112086258895e-01
1.050000000000000044e+00,1.185000000000000053e+00,3.976393162065522402e-01
1.050000000000000044e+00,1.220000000000000195e+00,3.911846089901194201e-01
1.050000000000000044e+00,1.255000000000000115e+00,3.806285124342255188e-01
1.050000000000000044e+00,1.290000000000000036e+00,3.665779405118773648e-01
1.050000000000000044e+00,1.325000000000000178e+00,3.465360366839774220e-01
1.050000000000000044e+00,1.360000000000000098e+00,3.147386510881101107e-01
1.050000000000000044e+00,1.395000000000000018e+00,2.683061901519327996e-01
1.050000000000000044e+00,1.430000000000000160e+00,1.990806200886633681e-01
1.050000000000000044e+00,1.465000000000000080e+00,1.168051850709998368e-01
1.050000000000000044e+00,1.500000000000000000e+00,7.712405379862968813e-02
1.050000000000000044e+00,1.535000000000000142e+00,1.179448706480227538e-01
1.050000000000000044e+00,1.570000000000000062e+00,1.999282541799401181e-01
1.050000000000000044e+00,1.604999999999999982e+00,2.688219203066311014e-01
1.050000000000000044e+00,1.640000000000000124e+00,3.148923730523875419e-01
1.050000000000000044e+00,1.675000000000000266e+00,3.456288134097709741e-01
1.050000000000000044e+00,1.710000000000000187e+00,3.651518228916763587e-01
1.050000000000000044e+00,1.745000000000000107e+00,3.794067620793946660e-01
1.050000000000000044e+00,1.780000000000000249e+00,3.900486317130904546e-01
1.050000000000000044e+00,1.815000000000000169e+00,3.966063091552350928e-01
1.050000000000000044e+00,1.850000000000000089e+00,4.015911886268618280e-01
1.050000000000000044e+00,1.885000000000000231e+00,4.052330067737457964e-01
1.050000000000000044e+00,1.920000000000000151e+00,4.073184217696740328e-01
1.050000000000000044e+00,1.955000000000000071e+00,4.092882930957663090e-01
1.050000000000000044e+00,1.990000000000000213e+00,4.110472896601582993e-01
1.050000000000000044e+00,2.025000000000000355e+00,4.130183080133917328e-01
1.050000000000000044e+00,2.060000000000000497e+00,4.154659259695782092e-01
1.050000000000000044e+00,2.095000000000000195e+00,4.168610504748861412e-01
1.050000000000000044e+00,2.129999999999999893e+00,4.177004183576211727e-01
1.050000000000000044e+00,2.165000000000000036e+00,4.188498140301133432e-01
1.050000000000000044e+00,2.200000000000000178e+00,4.194678910002780370e-01
1.100000000000000089e+00,8.000000000000000444e-01,4.290198640124704421e-01
1.100000000000000089e+00,8.350000000000000755e-01,4.287081936832835560e-01
1.100000000000000089e+00,8.700000000000001066e-01,4.278333185177142228e-01
1.100000000000000089e+00,9.050000000000000266e-01,4.271915753471703936e-01
1.100000000000000089e+00,9.400000000000000577e-01,4.262972963666075144e-01
1.100000000000000089e+00,9.750000000000000888e-01,4.246006995075238266e-01
1.100000000000000089e+00,1.010000000000000009e+00,4.224271264284556460e-01
1.100000000000000089e+00,1.045000000000000151e+00,4.194049543365696575e-01
1.100000000000000089e+00,1.080000000000000071e+00,4.166761585100176024e-01
1.100000000000000089e+00,1.115000000000000213e+00,4.144634991983141559e-01
1.100000000000000089e+00,1.150000000000000133e+00,4.104744244002302977e-01
1.100000000000000089e+00,1.185000000000000053e+00,4.052333687963594056e-01
1.100000000000000089e+00,1.220000000000000195e+00,3.984710287245276095e-01
1.100000000000000089e+00,1.255000000000000115e+00,3.874126249558297319e-01
1.100000000000000089e+00,1.290000000000000036e+00,3.726939914846860713e-01
1.100000000000000089e+00,1.325000000000000178e+00,3.516976643776686950e-01
1.100000000000000089e+00,1.360000000000000098e+00,3.183860157870280205e-01
1.100000000000000089e+00,1.395000000000000018e+00,2.697433586915382042e-01
1.100000000000000089e+00,1.430000000000000160e+00,1.972216202123966422e-01
1.100000000000000089e+00,1.465000000000000080e+00,1.110279649611084357e-01
1.100000000000000089e+00,1.500000000000000000e+00,6.945780092642134251e-02
1.100000000000000089e+00,1.535000000000000142e+00,1.122230390086375595e-01
1.100000000000000089e+00,1.570000000000000062e+00,1.981100636455870312e-01
1.100000000000000089e+00,1.604999999999999982e+00,2.702845288273924007e-01
1.100000000000000089e+00,1.640000000000000124e+00,3.185495058257058476e-01
1.100000000000000089e+00,1.675000000000000266e+00,3.507494659391726666e-01
1.100000000000000089e+00,1.710000000000000187e+00,3.712019604227975167e-01
1.100000000000000089e+00,1.745000000000000107e+00,3.861363165548868381e-01
1.100000000000000089e+00,1.780000000000000249e+00,3.972851131961232518e-01
1.100000000000000089e+00,1.815000000000000169e+00,4.041547132080006155e-01
1.100000000000000089e+00,1.850000000000000089e+00,4.093773344266606884e-01
1.100000000000000089e+00,1.885000000000000231e+00,4.131929912651708947e-01
1.100000000000000089e+00,1.920000000000000151e+00,4.153773943864791929e-01
1.100000000000000089e+00,1.955000000000000071e+00,4.174411285000399485e-01
1.100000000000000089e+00,1.990000000000000213e+00,4.192844149752327776e-01
1.100000000000000089e+00,2.025000000000000355e+00,4.213491603344328706e-01
1.100000000000000089e+00,2.060000000000000497e+00,4.239131321658382023e-01
1.100000000000000089e+00,2.095000000000000195e+00,4.253751581730583764e-01
1.100000000000000089e+00,2.129999999999999893e+00,4.262546165955068966e-01
1.100000000000000089e+00,2.165000000000000036e+00,4.274584199585587108e-01
1.100000000000000089e+00,2.200000000000000178e+00,4.281061983311145180e-01
1.149999999999999911e+00,8.000000000000000444e-01,4.381000238771290967e-01
1.149999999999999911e+00,8.350000000000000755e-01,4.377762117971595313e-01
1.149999999999999911e+00,8.700000000000001066e-01,4.368617729777591330e-01
1.149999999999999911e+00,9.050000000000000266e-01,4.361919595349542655e-01
1.149999999999999911e+00,9.400000000000000577e-01,4.352589382368375337e-01
1.149999999999999911e+00,9.750000000000000888e-01,4.334855275139195552e-01
1.149999999999999911e+00,1.010000000000000009e+00,4.312133922785703621e-01
1.149999999999999911e+00,1.045000000000000151e+00,4.280553934128765725e-01
1.149999999999999911e+00,1.080000000000000071e+00,4.252032046452015046e-01
1.149999999999999911e+00,1.115000000000000213e+00,4.228897512749100751e-01
1.149999999999999911e+00,1.150000000000000133e+00,4.187203412881054798e-01
1.149999999999999911e+00,1.185000000000000053e+00,4.132420078632352278e-01
1.149999999999999911e+00,1.220000000000000195e+00,4.061720107682690317e-01
1.149999999999999911e+00,1.255000000000000115e+00,3.946113328823818711e-01
1.149999999999999911e+00,1.290000000000000036e+00,3.792247299810470595e-01
1.149999999999999911e+00,1.325000000000000178e+00,3.572739753306976573e-01
1.149999999999999911e+00,1.360000000000000098e+00,3.224480544929272385e-01
1.149999999999999911e+00,1.395000000000000018e+00,2.715952806389499430e-01
1.149999999999999911e+00,1.430000000000000160e+00,1.957773998622477085e-01
1.149999999999999911e+00,1.465000000000000080e+00,1.056654932522766571e-01
1.149999999999999911e+00,1.500000000000000000e+00,6.220634599321074598e-02
1.149999999999999911e+00,1.535000000000000142e+00,1.069160573820158722e-01
1.149999999999999911e+00,1.570000000000000062e+00,1.967066931658751905e-01
1.149999999999999911e+00,1.604999999999999982e+00,2.721619708834473461e-01
1.149999999999999911e+00,1.640000000000000124e+00,3.226215351497203065e-01
1.149999999999999911e+00,1.675000000000000266e+00,3.562850040864581347e-01
1.149999999999999911e+00,1.710000000000000187e+00,3.776669670157600245e-01
1.149999999999999911e+00,1.745000000000000107e+00,3.932807955755279194e-01
1.149999999999999911e+00,1.780000000000000249e+00,4.049365347980047880e-01
1.149999999999999911e+00,1.815000000000000169e+00,4.121180257628280219e-01
1.149999999999999911e+00,1.850000000000000089e+00,4.175784220498033883e-01
1.149999999999999911e+00,1.885000000000000231e+00,4.215679556508370451e-01
1.149999999999999911e+00,1.920000000000000151e+00,4.238513180474691167e-01
1.149999999999999911e+00,1.955000000000000071e+00,4.260089203476791764e-01
1.149999999999999911e+00,1.990000000000000213e+00,4.279365447490946495e-01
1.149999999999999911e+00,2.025000000000000355e+00,4.300950052041836447e-01
1.149999999999999911e+00,2.060000000000000497e+00,4.327753127870998529e-01
1.149999999999999911e+00,2.095000000000000195e+00,4.343042827509284720e-01
1.149999999999999911e+00,2.129999999999999893e+00,4.352238426804119209e-01
1.149999999999999911e+00,2.165000000000000036e+00,4.364820241488686636e-01
1.149999999999999911e+00,2.200000000000000178e+00,4.371595283934261444e-01
1.199999999999999956e+00,8.000000000000000444e-01,4.475939281727502883e-01
1.199999999999999956e+00,8.350000000000000755e-01,4.472581504361164972e-01
1.199999999999999956e+00,8.700000000000001066e-01,4.463041656497676035e-01
1.199999999999999956e+00,9.050000000000000266e-01,4.456063775757325152e-01
1.199999999999999956e+00,9.400000000000000577e-01,4.446347797624112808e-01
1.199999999999999956e+00,9.750000000000000888e-01,4.427845816256777978e-01
1.199999999999999956e+00,1.010000000000000009e+00,4.404139048097029940e-01
1.199999999999999956e+00,1.045000000000000151e+00,4.371202134906290171e-01
1.199999999999999956e+00,1.080000000000000071e+00,4.341446877151185491e-01
1.199999999999999956e+00,1.115000000000000213e+00,4.317304212744715319e-01
1.199999999999999956e+00,1.150000000000000133e+00,4.273807618722514912e-01
1.199999999999999956e+00,1.185000000000000053e+00,4.216652334071800401e-01
1.199999999999999956e+00,1.220000000000000195e+00,4.142875551213434093e-01
1.199999999999999956e+00,1.255000000000000115e+00,4.022246362138817699e-01
1.199999999999999956e+00,1.290000000000000036e+00,3.861701560009604406e-01
1.199999999999999956e+00,1.325000000000000178e+00,3.632649695430645309e-01
1.199999999999999956e+00,1.360000000000000098e+00,3.269247672058074872e-01
1.199999999999999956e+00,1.395000000000000018e+00,2.738619559941680159e-01
1.199999999999999956e+00,1.430000000000000160e+00,1.947479590382165948e-01
1.199999999999999956e+00,1.465000000000000080e+00,1.007177699445044455e-01
1.199999999999999956e+00,1.500000000000000000e+00,5.536968899899787772e-02
1.199999999999999956e+00,1.535000000000000142e+00,1.020239257681576778e-01
1.199999999999999956e+00,1.570000000000000062e+00,1.957181427408045682e-01
1.199999999999999956e+00,1.604999999999999982e+00,2.744542464747959376e-01
1.199999999999999956e+00,1.640000000000000124e+00,3.271084610244308077e-01
