h5_file,station,misfit,status
capteurs.0000.h5,UU_0050,0.0,OK
capteurs.0000.h5,UU_0073,4.6930784391722905e-38,OK
capteurs.0000.h5,UU_0061,5.07700909780264e-38,OK
capteurs.0000.h5,UU_0084,6.048374147859043e-38,OK
capteurs.0000.h5,UU_0072,2.7249588388227242e-37,OK
capteurs.0000.h5,UU_0062,3.5110151621393976e-37,OK
capteurs.0000.h5,UU_0083,7.9139790281922e-37,OK
capteurs.0000.h5,UU_0051,7.996262319539433e-37,OK
capteurs.0000.h5,UU_0074,8.610061361253632e-37,OK
capteurs.0000.h5,UU_0060,1.0758218970614609e-36,OK
capteurs.0000.h5,UU_0071,1.57958448236717e-36,OK
capteurs.0000.h5,UU_0094,1.7545183411606884e-36,OK
capteurs.0000.h5,UU_0063,1.9411655557589657e-36,OK
capteurs.0000.h5,UU_0082,2.3966733801702965e-36,OK
capteurs.0000.h5,UU_0052,3.1798024454498605e-36,OK
capteurs.0000.h5,UU_0093,3.633469430776617e-36,OK
capteurs.0000.h5,UU_0070,4.001975309454237e-36,OK
capteurs.0000.h5,UU_0064,4.775344737294821e-36,OK
capteurs.0000.h5,UU_0081,4.9143017922153213e-36,OK
capteurs.0000.h5,UU_0092,6.254789814374224e-36,OK
capteurs.0000.h5,UU_0053,7.103544106967931e-36,OK
capteurs.0000.h5,UU_0080,8.375794455227233e-36,OK
capteurs.0000.h5,UU_0091,9.652517799224495e-36,OK
capteurs.0000.h5,UU_0054,1.2521769623443094e-35,OK
capteurs.0000.h5,UU_0090,1.3855623260433246e-35,OK
capteurs.0003.h5,UU_0000,1.9884301839980562e-30,OK
capteurs.0003.h5,UU_0009,1.9884301839980566e-30,OK
capteurs.0002.h5,UU_0099,1.9884301839980583e-30,OK
capteurs.0003.h5,UU_0001,2.1723861660498135e-30,OK
capteurs.0003.h5,UU_0008,2.1723861660498135e-30,OK
capteurs.0002.h5,UU_0098,2.172386166049815e-30,OK
capteurs.0003.h5,UU_0010,2.3471670649328216e-30,OK
